Counts,Time,Total_Angle,Relative_Angle,RPM
0,0.1,0,0,0
0,0.2,0,0,0
0,0.3,0,0,0
2,0.4,4,4,6.67
2,0.5,4,4,0
4,0.6,8,8,3.33
4,0.7,8,8,0
4,0.8,8,8,0
4,0.9,8,8,0
4,1,8,8,0
4,1.1,8,8,0
4,1.2,8,8,0
4,1.3,8,8,0
4,1.4,8,8,0
4,1.5,8,8,0
4,1.6,8,8,0
4,1.7,8,8,0
4,1.8,8,8,0
4,1.9,8,8,0
4,2,8,8,0
4,2.1,8,8,0
4,2.2,8,8,0
4,2.3,8,8,0
4,2.4,8,8,0
4,2.5,8,8,0
5,2.6,10,10,3.33
11,2.7,22,22,20
21,2.8,42,42,33.33
31,2.9,62,62,33.33
42,3,84,84,36.67
54,3.1,108,108,40
65,3.2,130,130,36.67
75,3.3,150,150,36.67
86,3.4,172,172,33.33
98,3.5,196,196,40
107,3.6,214,216,33.33
118,3.7,236,236,33.33
130,3.8,260,260,40
140,3.9,280,280,33.33
150,4,300,300,33.33
162,4.1,324,324,40
174,4.2,348,348,40
184,4.3,368,8,33.33
195,4.4,390,30,36.67
206,4.5,412,52,36.67
218,4.6,436,76,40
229,4.7,458,98,36.67
239,4.8,478,118,33.33
250,4.9,500,140,36.67
258,5,516,156,26.67
266,5.1,532,172,23.33
270,5.2,540,180,13.33
271,5.3,542,182,3.33
273,5.4,546,186,6.67
274,5.5,548,188,3.33
275,5.6,550,190,3.33
279,5.7,558,198,13.33
289,5.8,578,218,33.33
298,5.9,596,238,33.33
310,6,620,262,40
323,6.1,646,286,40
336,6.2,672,312,40
348,6.3,696,336,43.33
361,6.4,722,2,40
373,6.5,746,26,40
384,6.6,768,50,40
396,6.7,792,72,36.67
408,6.8,816,96,40
419,6.9,838,118,36.67
430,7,860,140,36.67
438,7.1,876,156,26.67
442,7.2,884,164,13.33
446,7.3,892,172,13.33
447,7.4,894,176,6.67
450,7.5,900,180,6.67
450,7.6,900,180,0
450,7.7,900,180,0
450,7.8,900,180,0
450,7.9,900,180,0
450,8,900,180,0
450,8.1,900,180,0
454,8.2,908,188,13.33
462,8.3,924,204,26.67
472,8.4,944,224,33.33
483,8.5,966,246,33.33
494,8.6,988,268,36.67
502,8.7,1004,284,26.67
508,8.8,1016,296,20
512,8.9,1024,304,13.33
514,9,1028,308,6.67
517,9.1,1034,314,10
518,9.2,1036,316,3.33
518,9.3,1036,316,0
518,9.4,1036,316,0
524,9.5,1048,328,20
534,9.6,1068,348,33.33
546,9.7,1092,12,40
561,9.8,1122,42,50
574,9.9,1148,70,46.67
590,10,1180,100,50
606,10.1,1212,132,53.33
622,10.2,1244,164,53.33
638,10.3,1276,196,53.33
654,10.4,1308,228,53.33
670,10.5,1340,260,53.33
688,10.6,1376,296,56.67
704,10.7,1408,330,56.67
722,10.8,1444,4,56.67
738,10.9,1476,36,53.33
754,11,1508,68,53.33
770,11.1,1540,100,53.33
786,11.2,1572,132,53.33
802,11.3,1604,164,53.33
818,11.4,1636,196,53.33
832,11.5,1664,224,46.67
846,11.6,1692,254,50
862,11.7,1724,284,50
878,11.8,1756,316,53.33
893,11.9,1786,346,50
907,12,1814,14,50
922,12.1,1844,44,46.67
938,12.2,1876,76,50
954,12.3,1908,108,53.33
968,12.4,1936,136,46.67
982,12.5,1966,166,46.67
998,12.6,1996,196,50
1013,12.7,2026,226,50
1027,12.8,2054,256,46.67
1042,12.9,2084,284,46.67
1058,13,2116,316,53.33
1073,13.1,2146,346,50
1078,13.2,2156,356,16.67
1078,13.3,2156,356,0
1078,13.4,2156,356,0
