Time,Counts ,Total_Angle,Relative_Angle,RPM
0,0,0,0,0
0.1,0,0,0,0
0.2,-2,-4,-4,-6.67
0.3,-3,-6,-6,-3.33
0.4,-6,-12,-12,-10
0.5,-13,-26,-26,-23.33
0.6,-26,-52,-54,-46.67
0.7,-55,-110,-112,-96.67
0.8,-69,-138,-138,-43.33
0.9,-76,-152,-152,-23.33
1,-79,-158,-158,-10
1.1,-82,-164,-164,-10
1.2,-83,-166,-166,-3.33
1.3,-86,-172,-172,-10
1.4,-88,-176,-176,-6.67
1.5,-90,-180,-180,-6.67
1.6,-94,-188,-188,-13.33
1.7,-97,-194,-194,-10
1.8,-98,-196,-196,-3.33
1.9,-102,-204,-204,-13.33
2,-105,-210,-210,-13.33
2.1,-110,-220,-220,-13.33
2.2,-114,-228,-228,-13.33
2.3,-122,-244,-244,-26.67
2.4,-132,-264,-264,-33.33
2.5,-137,-274,-274,-16.67
2.6,-144,-288,-288,-23.33
2.7,-154,-308,-308,-33.33
2.8,-157,-316,-316,-13.33
2.9,-162,-324,-324,-13.33
3,-168,-336,-336,-20
3.1,-171,-342,-342,-10
3.2,-174,-348,-348,-10
3.3,-176,-352,-352,-6.67
3.4,-179,-358,-358,-10
3.5,-182,-364,-4,-10
3.6,-182,-364,-4,0
3.7,-182,-364,-4,0
3.8,-178,-356,-356,13.33
3.9,-159,-318,-318,63.33
4,-150,-300,-300,30
4.1,-146,-292,-292,13.33
4.2,-139,-278,-278,23.33
4.3,-134,-268,-268,16.67
4.4,-131,-262,-262,10
4.5,-126,-252,-252,16.67
4.6,-122,-244,-244,13.33
4.7,-122,-244,-244,0
4.8,-118,-236,-236,13.33
4.9,-114,-228,-226,16.67
5,-108,-216,-216,16.67
5.1,-104,-208,-208,13.33
5.2,-99,-196,-196,20
5.3,-92,-184,-184,23.33
5.4,-78,-156,-156,43.33
5.5,-62,-124,-124,53.33
5.6,-54,-108,-108,26.67
5.7,-46,-92,-92,26.67
5.8,-38,-76,-76,26.67
5.9,-30,-60,-60,26.67
6,-25,-50,-50,16.67
6.1,-20,-40,-40,16.67
6.2,-17,-32,-32,13.33
6.3,-13,-26,-26,10
6.4,-8,-16,-16,16.67
6.5,-2,-4,-4,16.67
6.6,6,12,12,26.67
6.7,18,36,36,40
6.8,22,44,44,13.33
6.9,26,52,52,13.33
7,32,64,64,20
7.1,34,68,68,6.67
7.2,34,68,68,0
7.3,34,68,68,0
7.4,34,68,68,0
7.5,29,58,58,-16.67
7.6,25,50,50,-13.33
7.7,22,44,44,-10
7.8,18,36,36,-13.33
7.9,16,32,32,-6.67
8,14,28,28,-6.67
8.1,11,22,22,-10
8.2,10,20,20,-3.33
8.3,10,20,20,0
8.4,8,16,16,-6.67
8.5,8,16,16,0
8.6,8,16,16,0
8.7,8,16,16,0
8.8,8,16,16,0
