frame,x,y,time
0,268.0,145.0,0.03333333333333333
1,269.0,145.0,0.06666666666666667
2,270.0,146.0,0.1
3,270.0,145.0,0.13333333333333333
4,271.0,145.0,0.16666666666666666
5,271.0,144.0,0.2
6,272.0,144.0,0.23333333333333334
7,272.0,144.0,0.26666666666666666
8,272.0,145.0,0.3
9,272.0,145.0,0.3333333333333333
10,272.0,145.0,0.36666666666666664
11,271.0,144.0,0.39999999999999997
12,273.0,144.0,0.4333333333333333
13,273.0,143.0,0.4666666666666666
14,273.0,143.0,0.49999999999999994
15,273.0,142.0,0.5333333333333333
16,274.0,142.0,0.5666666666666667
17,274.0,141.0,0.6
18,273.0,140.0,0.6333333333333333
19,274.0,140.0,0.6666666666666666
20,274.0,140.0,0.7
21,274.0,139.0,0.7333333333333333
22,274.0,136.0,0.7666666666666666
23,272.0,131.0,0.7999999999999999
24,267.0,119.0,0.8333333333333333
25,256.0,106.0,0.8666666666666666
26,246.0,98.0,0.8999999999999999
27,236.0,93.0,0.9333333333333332
28,228.0,90.0,0.9666666666666666
29,222.0,90.0,0.9999999999999999
30,216.0,90.0,1.0333333333333332
31,208.0,90.0,1.0666666666666667
32,200.0,93.0,1.1
33,193.0,96.0,1.1333333333333335
34,186.0,100.0,1.166666666666667
35,182.0,104.0,1.2000000000000004
36,177.0,110.0,1.2333333333333338
37,173.0,114.0,1.2666666666666673
38,170.0,119.0,1.3000000000000007
39,168.0,128.0,1.3333333333333341
40,167.0,138.0,1.3666666666666676
41,167.0,146.0,1.400000000000001
42,168.0,158.0,1.4333333333333345
43,172.0,170.0,1.466666666666668
44,179.0,180.0,1.5000000000000013
45,183.0,185.0,1.5333333333333348
46,185.0,187.0,1.5666666666666682
47,186.0,187.0,1.6000000000000016
48,187.0,186.0,1.633333333333335
49,188.0,186.0,1.6666666666666685
50,187.0,186.0,1.700000000000002
51,188.0,186.0,1.7333333333333352
52,192.0,188.0,1.7666666666666686
53,196.0,190.0,1.800000000000002
54,201.0,190.0,1.8333333333333355
55,206.0,192.0,1.866666666666669
56,210.0,192.0,1.9000000000000024
57,214.0,193.0,1.9333333333333358
58,216.0,193.0,1.9666666666666692
59,220.0,193.0,2.0000000000000027
60,226.0,193.0,2.033333333333336
61,228.0,191.0,2.066666666666669
62,230.0,189.0,2.1000000000000023
63,235.0,188.0,2.1333333333333355
64,241.0,186.0,2.1666666666666687
65,248.0,183.0,2.200000000000002
66,255.0,180.0,2.233333333333335
67,260.0,176.0,2.2666666666666684
68,264.0,171.0,2.3000000000000016
69,267.0,167.0,2.333333333333335
70,269.0,163.0,2.366666666666668
71,270.0,160.0,2.4000000000000012
72,271.0,160.0,2.4333333333333345
73,271.0,160.0,2.4666666666666677
74,272.0,160.0,2.500000000000001
75,272.0,160.0,2.533333333333334
76,271.0,160.0,2.5666666666666673
77,271.0,158.0,2.6000000000000005
78,271.0,157.0,2.6333333333333337
79,272.0,154.0,2.666666666666667
80,274.0,148.0,2.7
81,276.0,140.0,2.7333333333333334
82,277.0,130.0,2.7666666666666666
83,275.0,119.0,2.8
84,273.0,108.0,2.833333333333333
85,270.0,100.0,2.8666666666666663
86,267.0,93.0,2.8999999999999995
87,264.0,88.0,2.9333333333333327
88,261.0,83.0,2.966666666666666
89,260.0,82.0,2.999999999999999
90,260.0,80.0,3.0333333333333323
91,260.0,80.0,3.0666666666666655
92,259.0,78.0,3.0999999999999988
93,258.0,76.0,3.133333333333332
94,257.0,74.0,3.166666666666665
95,257.0,73.0,3.1999999999999984
96,257.0,72.0,3.2333333333333316
97,257.0,70.0,3.266666666666665
98,257.0,70.0,3.299999999999998
99,258.0,70.0,3.3333333333333313
100,258.0,70.0,3.3666666666666645
101,258.0,70.0,3.3999999999999977
102,258.0,70.0,3.433333333333331
103,258.0,70.0,3.466666666666664
104,257.0,69.0,3.4999999999999973
105,257.0,68.0,3.5333333333333306
106,254.0,64.0,3.5666666666666638
107,250.0,61.0,3.599999999999997
108,244.0,58.0,3.63333333333333
109,237.0,55.0,3.6666666666666634
110,226.0,52.0,3.6999999999999966
111,217.0,52.0,3.73333333333333
112,207.0,53.0,3.766666666666663
113,201.0,54.0,3.7999999999999963
114,195.0,57.0,3.8333333333333295
115,189.0,60.0,3.8666666666666627
116,182.0,66.0,3.899999999999996
117,175.0,73.0,3.933333333333329
118,171.0,80.0,3.9666666666666623
119,169.0,84.0,3.9999999999999956
120,167.0,88.0,4.033333333333329
121,166.0,92.0,4.066666666666662
122,165.0,95.0,4.099999999999995
123,164.0,105.0,4.133333333333328
124,165.0,114.0,4.166666666666662
125,168.0,122.0,4.199999999999995
126,171.0,129.0,4.233333333333328
127,174.0,136.0,4.266666666666661
128,179.0,142.0,4.2999999999999945
129,184.0,147.0,4.333333333333328
130,190.0,152.0,4.366666666666661
131,196.0,156.0,4.399999999999994
132,202.0,158.0,4.433333333333327
133,208.0,160.0,4.466666666666661
134,214.0,162.0,4.499999999999994
135,220.0,162.0,4.533333333333327
136,226.0,162.0,4.56666666666666
137,232.0,162.0,4.599999999999993
138,237.0,160.0,4.633333333333327
139,240.0,160.0,4.66666666666666
140,243.0,161.0,4.699999999999993
141,248.0,160.0,4.733333333333326
142,252.0,158.0,4.7666666666666595
